Nome OMS,Nome Chinês,Localização,Nível Energético,Meridiano Regular,Canal Maravilhoso,Função CM,Particularidade
LU1,Zhong Fu,"Na região torácica lateral, no 1º espaço intercostal, 6 cun lateral à linha média, 1 cun abaixo de P2",Tai Yin,Pulmão,Não,N/A,Ponto Mu do Pulmão
LU2,Yun Men,"Na região torácica lateral, no 2º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Pulmão,Não,N/A,Ponto de dispersão
LU3,Tian Fu,"Na região anterior do braço, 3 cun abaixo da axila, na borda lateral do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Acalma a mente
LU4,Xia Bai,"Na região anterior do braço, 4 cun abaixo de P3, no sulco lateral do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Beneficia o Qi do pulmão
LU5,Chi Ze,"Na fossa cubital, no lado radial do tendão do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Ponto água e ponto sedação
LU6,Kong Zui,"Na região anterior do antebraço, 7 cun acima do punho, entre os músculos palmar longo e flexor radial do carpo",Tai Yin,Pulmão,Não,N/A,Ponto fogo e ponto tonificação
LU7,Lie Que,"Na região lateral do punho, 1,5 cun acima do processo estilóide do rádio, na depressão entre os tendões,Tai Yin",Pulmão,Ren Mai,Abre,Ponto Luo, conecta com o Ren Mai
LU8,Jing Qu,"Na região palmar do punho, 1 cun acima da dobra palmar do punho, entre os tendões dos músculos",Tai Yin,Pulmão,Não,N/A,Ponto rio
LU9,Tai Yuan,"Na região palmar do punho, na dobra palmar do punho, no lado radial da artéria radial",Tai Yin,Pulmão,Não,N/A,Ponto fonte e ponto terra
LU10,Yu Ji,"Na região tenar da mão, no meio da primeira articulação metacarpofalangeana",Tai Yin,Pulmão,Não,N/A,Ponto riacho
LU11,Shao Shang,"No lado radial da falange distal do polegar, 0,1 cun proximal ao ângulo ungueal",Tai Yin,Pulmão,Não,N/A,Ponto poço e ponto madeira
LI1,Shang Yang,"No lado radial da falange distal do indicador, 0,1 cun proximal ao ângulo ungueal",Yang Ming,Intestino Grosso,Não,N/A,Ponto poço e ponto metal
LI2,Er Jian,"No lado radial da falange proximal do indicador, distal à articulação metacarpofalangeana",Yang Ming,Intestino Grosso,Não,N/A,Ponto riacho
LI3,San Jian,"No lado radial do segundo metacarpo, proximal à cabeça do metacarpo",Yang Ming,Intestino Grosso,Não,N/A,Ponto rio
LI4,He Gu,"Entre o primeiro e o segundo osso metacarpiano, no ponto médio do segundo metacarpiano",Yang Ming,Intestino Grosso,Não,N/A,Ponto fonte e ponto terra
LI5,Yang Xi,"No lado radial do punho, na tabaqueira anatômica",Yang Ming,Intestino Grosso,Não,N/A,Ponto rio
LI6,Pian Li,"3 cun acima do pulso, no lado radial do antebraço",Yang Ming,Intestino Grosso,Não,N/A,Ponto ramo
LI7,Wen Liu,"Na face lateral do antebraço, 5 cun acima do punho",Yang Ming,Intestino Grosso,Não,N/A,Dispersa calor
LI8,Xia Lian,"Na face lateral do antebraço, 4 cun distal da dobra do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Elimina obstruções do canal
LI9,Shang Lian,"Na face lateral do antebraço, 3 cun distal da dobra do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Ponto água
LI10,Shou San Li,"No dorso do antebraço, 2 cun distal do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Fortalece Qi e Sangue
LI11,Qu Chi,Na extremidade lateral da prega do cotovelo,Yang Ming,Intestino Grosso,Não,N/A,Ponto Terra e Mar
LI12,Zhou Liao,"No lado lateral do cotovelo, na depressão acima do epicôndilo lateral do úmero",Yang Ming,Intestino Grosso,Não,N/A,Relaxa tendões e músculos
LI13,Shou Wu Li,"3 cun acima de LI11, no músculo braquiorradial",Yang Ming,Intestino Grosso,Não,N/A,Trata distúrbios do braço
LI14,Bi Nao,"No bíceps braquial, 7 cun acima de LI11",Yang Ming,Intestino Grosso,Não,N/A,Ponto para dor no ombro
LI15,Jian Yu,"Na região do ombro, anterior e inferior ao acrômio,Yang Ming",Intestino Grosso,Não,N/A,Ponto de encontro com VB, ID e TA
LI16,Ju Gu,Na depressão entre o acrômio e a espinha da escápula,Yang Ming,Intestino Grosso,Não,N/A,Ponto para problema no ombro
LI17,Tian Ding,"No lado posterior do pescoço, 1 cun posterior à borda do músculo esternocleidomastóideo",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas na garganta
LI18,Fu Tu,"Na borda posterior do músculo esternocleidomastóideo, ao nível da proeminência da laringe",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas vocais
LI19,He Liao,"0,5 cun lateral à asa do nariz",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas nasais
LI20,Ying Xiang,"No sulco nasolabial, ao nível do ponto médio da borda lateral da narina",Yang Ming,Intestino Grosso,Não,N/A,Ponto principal para problemas nasais
ST1,Cheng Qi,"Com os olhos abertos, 0,1 cun abaixo da margem infraorbital, na linha da pupila",Yang Ming,Estômago,Não,N/A,Início do canal do Estômago
ST2,Si Bai,"1 cun abaixo da margem infraorbital, na depressão no forâmen infraorbital",Yang Ming,Estômago,Não,N/A,Trata problemas oculares
ST3,Ju Liao,"Na linha vertical que passa pela pupila, ao nível das asas do nariz",Yang Ming,Estômago,Não,N/A,Trata problemas nasais e faciais
ST4,Di Cang,"Lateral à comissura da boca, diretamente abaixo de ST3",Yang Ming,Estômago,Não,N/A,Trata problemas faciais
ST5,Da Ying,"Na borda anterior do músculo masseter, na depressão anterior ao ângulo da mandíbula",Yang Ming,Estômago,Não,N/A,Trata problemas mandibulares
ST6,Jia Che,Na proeminência do músculo masseter,Yang Ming,Estômago,Não,N/A,Trata trismo e dor facial
ST7,Xia Guan,Na depressão entre o arco zigomático e o côndilo da mandíbula,Yang Ming,Estômago,Não,N/A,Trata distúrbios da ATM
ST8,Tou Wei,"0,5 cun acima do ângulo anterior do cabelo, 4,5 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Ponto de cefaleia
ST9,Ren Ying,"No músculo esternocleidomastóideo, no nível da proeminência da laringe, onde a artéria carótida pulsa",Yang Ming,Estômago,Não,N/A,Ponto de encontro com Ren Mai
ST10,Shui Tu,"No bordo anterior do músculo esternocleidomastóideo, no nível da proeminência da laringe",Yang Ming,Estômago,Não,N/A,Ponto para problemas da garganta
