Síndrome,Etiopatogenia,Sugestão de Pontos de Acupuntura
"Síndrome de Deficiência de Qi do Baço","Alimentação irregular, estresse, preocupação excessiva, má digestão","Zusanli (E36), Sanyinjiao (BP6), Pishu (BL20), Weishu (BL21)"
"Síndrome de Estagnação de Qi do Fígado","Estresse crônico, emoções reprimidas, raiva, frustração","Taichong (F3), Qimen (F14), Ganshu (BL18), Zhangmen (F13)"
"Síndrome de Deficiência de Yin do Rim","Envelhecimento, estresse prolongado, excesso sexual, insônia","Taixi (R3), Shenmen (R7), Guanyuan (VC4), Mingmen (DU4)"
"Síndrome de Calor no Pulmão","Infecções respiratórias, tabagismo, poluição, estresse","Feishu (BL13), Lieque (P7), Tiantu (CV22), Chize (P7)"
"Síndrome de Umidade-Calor no Intestino","Alimentação inadequada, consumo de alimentos gordurosos","Tianshu (E25), Shangjuxu (E37), Xiajuxu (E39), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Rim","Exposição ao frio, sedentarismo, fadiga crônica","Mingmen (DU4), Shenque (VC8), Qihai (VC6), Yongquan (R1)"
"Síndrome de Vento-Frio Externo","Exposição a correntes de ar, mudanças bruscas de temperatura","Dazhui (DU14), Fengchi (VB20), Hegu (IG4), Lieque (P7)"
"Síndrome de Deficiência de Sangue do Coração","Estresse emocional, insônia, fadiga mental","Shenmen (C7), Xingshu (BL15), Neiguan (PC6), Xinshu (BL15)"
"Síndrome de Estase de Sangue","Trauma, cirurgias, dores crônicas, estagnação energética","Xuehai (BP10), Geshu (BL17), Ciliao (BL32), Dadu (BP2)"
"Síndrome de Deficiência de Yin do Fígado","Estresse prolongado, insônia, irritabilidade","Ganshu (BL18), Taichong (F3), Taixi (R3), Yinlingquan (BP9)"
"Síndrome de Excesso de Umidade-Fleuma","Dieta rica em alimentos gordurosos e açucarados, sedentarismo","Fenglong (E40), Zhongwan (VC12), Pishu (BL20), Yinlingquan (BP9)"
"Síndrome de Deficiência de Qi do Pulmão","Doenças respiratórias crônicas, tabagismo, alergias","Feishu (BL13), Tiantu (CV22), Zusanli (E36), Lieque (P7)"
"Síndrome de Calor no Estômago","Alimentação irregular, estresse, consumo de alimentos picantes","Zusanli (E36), Neiting (E44), Liangmen (E21), Zhongwan (VC12)"
"Síndrome de Deficiência de Yang do Baço","Dieta fria, alimentos crus, digestão fraca","Pishu (BL20), Weishu (BL21), Zusanli (E36), Sanyinjiao (BP6)"
