CID-10,Doença,Pontos Principais,Detalhes dos Pontos
"M54.5","Dor Lombar Crônica","Shenshu (BL23), Mingmen (DU4), Yaoyangguan (DU3), Weizhong (BL40)","Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar. Mingmen: Ponto de fogo do Vaso Governador, localizado na linha média entre as vértebras L2-L3. Yaoyangguan: Ponto de fogo do Vaso Governador, localizado na linha média entre as vértebras L3-L4. Weizhong: Ponto He do meridiano da Bexiga, localizado no centro da prega poplítea."
"G43.9","Enxaqueca","Fengchi (GB20), Taiyang (EX-HN5), Hegu (LI4), Baihui (DU20)","Fengchi: Ponto de fogo do meridiano da Vesícula Biliar, localizado na depressão entre os músculos esternocleidomastóideo e trapézio. Taiyang: Ponto extra-cabeça, localizado na depressão temporal. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça."
"M17.9","Osteoartrite do Joelho","Xiyan (EX-LE5), Dubi (ST35), Yanglingquan (GB34), Zusanli (ST36)","Xiyan: Ponto extra-perna, localizado na depressão lateral do ligamento patelar. Dubi: Ponto de fogo do meridiano do Estômago, localizado na depressão lateral do ligamento patelar. Yanglingquan: Ponto He do meridiano da Vesícula Biliar, localizado na depressão anterior e inferior da cabeça da fíbula. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"F41.9","Ansiedade","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F51.0","Insônia","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F32.9","Depressão","Baihui (DU20), Yintang (EX-HN3), Shenmen (HT7), Sanyinjiao (SP6)","Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial."
"J45.9","Asma","Feishu (BL13), Tiantu (CV22), Dingchuan (EX-B1), Zusanli (ST36)","Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Dingchuan: Ponto extra-costas, localizado 0.5 cun lateral à linha média na altura da 7ª vértebra cervical. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"K29.7","Gastrite","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"E11.9","Diabetes Tipo 2","Sanyinjiao (SP6), Zusanli (ST36), Pishu (BL20), Shenshu (BL23)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica. Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar."
"G25.9","Síndrome das Pernas Inquietas","Sanyinjiao (SP6), Zusanli (ST36), Xuehai (SP10), Taixi (KI3)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela. Taixi: Ponto Yuan do meridiano do Rim, localizado entre o maléolo medial e o tendão calcâneo."
